filename,char,codepoint_hex,codepoint_dec
U+0041.png,A,U+0041,65
U+0042.png,B,U+0042,66
U+0043.png,C,U+0043,67
U+0044.png,D,U+0044,68
U+0045.png,E,U+0045,69
U+0046.png,F,U+0046,70
U+0047.png,G,U+0047,71
U+0048.png,H,U+0048,72
U+0049.png,I,U+0049,73
U+004A.png,J,U+004A,74
U+004B.png,K,U+004B,75
U+004C.png,L,U+004C,76
U+004D.png,M,U+004D,77
U+004E.png,N,U+004E,78
U+004F.png,O,U+004F,79
U+0050.png,P,U+0050,80
U+0051.png,Q,U+0051,81
U+0052.png,R,U+0052,82
U+0053.png,S,U+0053,83
U+0054.png,T,U+0054,84
U+0055.png,U,U+0055,85
U+0056.png,V,U+0056,86
U+0057.png,W,U+0057,87
U+0058.png,X,U+0058,88
U+0059.png,Y,U+0059,89
U+005A.png,Z,U+005A,90
U+0061.png,a,U+0061,97
U+0062.png,b,U+0062,98
U+0063.png,c,U+0063,99
U+0064.png,d,U+0064,100
U+0065.png,e,U+0065,101
U+0066.png,f,U+0066,102
U+0067.png,g,U+0067,103
U+0068.png,h,U+0068,104
U+0069.png,i,U+0069,105
U+006A.png,j,U+006A,106
U+006B.png,k,U+006B,107
U+006C.png,l,U+006C,108
U+006D.png,m,U+006D,109
U+006E.png,n,U+006E,110
U+006F.png,o,U+006F,111
U+0070.png,p,U+0070,112
U+0071.png,q,U+0071,113
U+0072.png,r,U+0072,114
U+0073.png,s,U+0073,115
U+0074.png,t,U+0074,116
U+0075.png,u,U+0075,117
U+0076.png,v,U+0076,118
U+0077.png,w,U+0077,119
U+0078.png,x,U+0078,120
U+0079.png,y,U+0079,121
U+007A.png,z,U+007A,122
U+4E00.png,一,U+4E00,19968
U+4E01.png,丁,U+4E01,19969
U+4E03.png,七,U+4E03,19971
U+4E07.png,万,U+4E07,19975
U+4E08.png,丈,U+4E08,19976
U+4E09.png,三,U+4E09,19977
U+4E0A.png,上,U+4E0A,19978
U+4E0B.png,下,U+4E0B,19979
U+4E0C.png,丌,U+4E0C,19980
U+4E0D.png,不,U+4E0D,19981
U+4E0E.png,与,U+4E0E,19982
U+4E10.png,丐,U+4E10,19984
U+4E11.png,丑,U+4E11,19985
U+4E13.png,专,U+4E13,19987
U+4E14.png,且,U+4E14,19988
U+4E15.png,丕,U+4E15,19989
U+4E16.png,世,U+4E16,19990
U+4E18.png,丘,U+4E18,19992
U+4E19.png,丙,U+4E19,19993
U+4E1A.png,业,U+4E1A,19994
U+4E1B.png,丛,U+4E1B,19995
U+4E1C.png,东,U+4E1C,19996
U+4E1D.png,丝,U+4E1D,19997
U+4E1E.png,丞,U+4E1E,19998
U+4E22.png,丢,U+4E22,20002
U+4E24.png,两,U+4E24,20004
U+4E25.png,严,U+4E25,20005
U+4E27.png,丧,U+4E27,20007
U+4E28.png,丨,U+4E28,20008
U+4E2A.png,个,U+4E2A,20010
U+4E2B.png,丫,U+4E2B,20011
U+4E2C.png,丬,U+4E2C,20012
U+4E2D.png,中,U+4E2D,20013
U+4E30.png,丰,U+4E30,20016
U+4E32.png,串,U+4E32,20018
U+4E34.png,临,U+4E34,20020
U+4E36.png,丶,U+4E36,20022
U+4E38.png,丸,U+4E38,20024
U+4E39.png,丹,U+4E39,20025
U+4E3A.png,为,U+4E3A,20026
U+4E3B.png,主,U+4E3B,20027
U+4E3D.png,丽,U+4E3D,20029
U+4E3E.png,举,U+4E3E,20030
U+4E3F.png,丿,U+4E3F,20031
U+4E43.png,乃,U+4E43,20035
U+4E45.png,久,U+4E45,20037
U+4E47.png,乇,U+4E47,20039
U+4E48.png,么,U+4E48,20040
U+4E49.png,义,U+4E49,20041
U+4E4B.png,之,U+4E4B,20043
U+4E4C.png,乌,U+4E4C,20044
U+4E4D.png,乍,U+4E4D,20045
U+4E4E.png,乎,U+4E4E,20046
U+4E4F.png,乏,U+4E4F,20047
U+4E50.png,乐,U+4E50,20048
U+4E52.png,乒,U+4E52,20050
U+4E53.png,乓,U+4E53,20051
U+4E54.png,乔,U+4E54,20052
U+4E56.png,乖,U+4E56,20054
U+4E58.png,乘,U+4E58,20056
U+4E59.png,乙,U+4E59,20057
U+4E5C.png,乜,U+4E5C,20060
U+4E5D.png,九,U+4E5D,20061
U+4E5E.png,乞,U+4E5E,20062
U+4E5F.png,也,U+4E5F,20063
U+4E60.png,习,U+4E60,20064
U+4E61.png,乡,U+4E61,20065
U+4E66.png,书,U+4E66,20070
U+4E69.png,乩,U+4E69,20073
U+4E70.png,买,U+4E70,20080
U+4E71.png,乱,U+4E71,20081
U+4E73.png,乳,U+4E73,20083
U+4E7E.png,乾,U+4E7E,20094
U+4E86.png,了,U+4E86,20102
